,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Flag Codes
725,CAN,CPI,ENRG,AGRWTH,Jun-2022,38.80939,
726,CAN,CPI,ENRG,AGRWTH,Jul-2022,28.01339,
727,CAN,CPI,ENRG,AGRWTH,Aug-2022,19.03441,
728,CAN,CPI,ENRG,AGRWTH,Sep-2022,14.00778,
729,CAN,CPI,ENRG,AGRWTH,Oct-2022,16.21333,
730,CAN,CPI,ENRG,AGRWTH,Nov-2022,13.90658,
731,CAN,CPI,ENRG,AGRWTH,Dec-2022,7.32899,
1416,CAN,CPI,ENRG,IDX2015,Jan-2018,106.7187,
1417,CAN,CPI,ENRG,IDX2015,Feb-2018,106.4511,
1418,CAN,CPI,ENRG,IDX2015,Mar-2018,107.7223,
1419,CAN,CPI,ENRG,IDX2015,Apr-2018,111.8037,
1420,CAN,CPI,ENRG,IDX2015,May-2018,113.3426,
1421,CAN,CPI,ENRG,IDX2015,Jun-2018,111.8706,
1422,CAN,CPI,ENRG,IDX2015,Jul-2018,112.9412,
1423,CAN,CPI,ENRG,IDX2015,Aug-2018,111.8706,
1424,CAN,CPI,ENRG,IDX2015,Sep-2018,111.2685,
1425,CAN,CPI,ENRG,IDX2015,Oct-2018,109.5289,
1426,CAN,CPI,ENRG,IDX2015,Nov-2018,104.2431,
1427,CAN,CPI,ENRG,IDX2015,Dec-2018,100.4293,
1428,CAN,CPI,ENRG,IDX2015,Jan-2019,99.3588,
1429,CAN,CPI,ENRG,IDX2015,Feb-2019,100.4293,
1430,CAN,CPI,ENRG,IDX2015,Mar-2019,106.4511,
1431,CAN,CPI,ENRG,IDX2015,Apr-2019,112.5397,
1432,CAN,CPI,ENRG,IDX2015,May-2019,113.2088,
1433,CAN,CPI,ENRG,IDX2015,Jun-2019,107.254,
1434,CAN,CPI,ENRG,IDX2015,Jul-2019,109.3281,
1435,CAN,CPI,ENRG,IDX2015,Aug-2019,106.5849,
1436,CAN,CPI,ENRG,IDX2015,Sep-2019,106.1834,
1437,CAN,CPI,ENRG,IDX2015,Oct-2019,106.3173,
1438,CAN,CPI,ENRG,IDX2015,Nov-2019,105.782,
1439,CAN,CPI,ENRG,IDX2015,Dec-2019,105.9158,
1440,CAN,CPI,ENRG,IDX2015,Jan-2020,106.1165,
1441,CAN,CPI,ENRG,IDX2015,Feb-2020,104.7784,
1442,CAN,CPI,ENRG,IDX2015,Mar-2020,94.07304,
1443,CAN,CPI,ENRG,IDX2015,Apr-2020,85.84332,
1444,CAN,CPI,ENRG,IDX2015,May-2020,91.66434,
1445,CAN,CPI,ENRG,IDX2015,Jun-2020,97.81991,
1446,CAN,CPI,ENRG,IDX2015,Jul-2020,100.1617,
1447,CAN,CPI,ENRG,IDX2015,Aug-2020,99.89406,
1448,CAN,CPI,ENRG,IDX2015,Sep-2020,100.2286,
1449,CAN,CPI,ENRG,IDX2015,Oct-2020,99.96097,
1450,CAN,CPI,ENRG,IDX2015,Nov-2020,99.76025,
1451,CAN,CPI,ENRG,IDX2015,Dec-2020,101.7006,
1452,CAN,CPI,ENRG,IDX2015,Jan-2021,103.2395,
1453,CAN,CPI,ENRG,IDX2015,Feb-2021,107.3209,
1454,CAN,CPI,ENRG,IDX2015,Mar-2021,112.0045,
1455,CAN,CPI,ENRG,IDX2015,Apr-2021,113.8779,
1456,CAN,CPI,ENRG,IDX2015,May-2021,115.8851,
1457,CAN,CPI,ENRG,IDX2015,Jun-2021,116.8888,
1458,CAN,CPI,ENRG,IDX2015,Jul-2021,119.8996,
1459,CAN,CPI,ENRG,IDX2015,Aug-2021,120.5687,
1460,CAN,CPI,ENRG,IDX2015,Sep-2021,120.368,
1461,CAN,CPI,ENRG,IDX2015,Oct-2021,125.453,
1462,CAN,CPI,ENRG,IDX2015,Nov-2021,126.0552,
1463,CAN,CPI,ENRG,IDX2015,Dec-2021,123.245,
1464,CAN,CPI,ENRG,IDX2015,Jan-2022,127.1257,
1465,CAN,CPI,ENRG,IDX2015,Feb-2022,133.1475,
1466,CAN,CPI,ENRG,IDX2015,Mar-2022,143.1168,
1467,CAN,CPI,ENRG,IDX2015,Apr-2022,143.9197,
1468,CAN,CPI,ENRG,IDX2015,May-2022,156.1639,
1469,CAN,CPI,ENRG,IDX2015,Jun-2022,162.2526,
1470,CAN,CPI,ENRG,IDX2015,Jul-2022,153.4876,
1471,CAN,CPI,ENRG,IDX2015,Aug-2022,143.5183,
1472,CAN,CPI,ENRG,IDX2015,Sep-2022,137.2289,
1473,CAN,CPI,ENRG,IDX2015,Oct-2022,145.7931,
1474,CAN,CPI,ENRG,IDX2015,Nov-2022,143.5852,
1475,CAN,CPI,ENRG,IDX2015,Dec-2022,132.2777,
