,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Flag Codes
1203,G-7,CPI,FOOD,IDX2015,May-2018,100.8796,
1204,G-7,CPI,FOOD,IDX2015,Jun-2018,100.7631,
1205,G-7,CPI,FOOD,IDX2015,Jul-2018,100.9591,
1206,G-7,CPI,FOOD,IDX2015,Aug-2018,101.1466,
1207,G-7,CPI,FOOD,IDX2015,Sep-2018,101.3212,
1208,G-7,CPI,FOOD,IDX2015,Oct-2018,101.1804,
1209,G-7,CPI,FOOD,IDX2015,Nov-2018,100.9901,
1210,G-7,CPI,FOOD,IDX2015,Dec-2018,101.2459,
1211,G-7,CPI,FOOD,IDX2015,Jan-2019,101.9255,
1212,G-7,CPI,FOOD,IDX2015,Feb-2019,102.1458,
1213,G-7,CPI,FOOD,IDX2015,Mar-2019,102.1204,
1214,G-7,CPI,FOOD,IDX2015,Apr-2019,101.8865,
1215,G-7,CPI,FOOD,IDX2015,May-2019,102.1384,
1216,G-7,CPI,FOOD,IDX2015,Jun-2019,102.0329,
1217,G-7,CPI,FOOD,IDX2015,Jul-2019,102.1103,
1218,G-7,CPI,FOOD,IDX2015,Aug-2019,102.1784,
1219,G-7,CPI,FOOD,IDX2015,Sep-2019,102.2635,
1220,G-7,CPI,FOOD,IDX2015,Oct-2019,102.3084,
1221,G-7,CPI,FOOD,IDX2015,Nov-2019,102.3139,
1222,G-7,CPI,FOOD,IDX2015,Dec-2019,102.4432,
1223,G-7,CPI,FOOD,IDX2015,Jan-2020,103.097,
1224,G-7,CPI,FOOD,IDX2015,Feb-2020,103.3483,
1225,G-7,CPI,FOOD,IDX2015,Mar-2020,103.6183,
1226,G-7,CPI,FOOD,IDX2015,Apr-2020,105.653,
1227,G-7,CPI,FOOD,IDX2015,May-2020,106.3033,
1228,G-7,CPI,FOOD,IDX2015,Jun-2020,106.4192,
1229,G-7,CPI,FOOD,IDX2015,Jul-2020,105.4268,
1230,G-7,CPI,FOOD,IDX2015,Aug-2020,105.4219,
1231,G-7,CPI,FOOD,IDX2015,Sep-2020,104.9421,
1232,G-7,CPI,FOOD,IDX2015,Oct-2020,105.1454,
1233,G-7,CPI,FOOD,IDX2015,Nov-2020,104.7598,
1234,G-7,CPI,FOOD,IDX2015,Dec-2020,104.7342,
1235,G-7,CPI,FOOD,IDX2015,Jan-2021,105.5003,
1236,G-7,CPI,FOOD,IDX2015,Feb-2021,105.674,
1237,G-7,CPI,FOOD,IDX2015,Mar-2021,105.7075,
1238,G-7,CPI,FOOD,IDX2015,Apr-2021,106.3044,
1239,G-7,CPI,FOOD,IDX2015,May-2021,106.5812,
1240,G-7,CPI,FOOD,IDX2015,Jun-2021,107.0485,
1241,G-7,CPI,FOOD,IDX2015,Jul-2021,107.3824,
1242,G-7,CPI,FOOD,IDX2015,Aug-2021,107.7828,
1243,G-7,CPI,FOOD,IDX2015,Sep-2021,108.6351,
1244,G-7,CPI,FOOD,IDX2015,Oct-2021,109.2931,
1245,G-7,CPI,FOOD,IDX2015,Nov-2021,109.7486,
1246,G-7,CPI,FOOD,IDX2015,Dec-2021,110.3347,
1247,G-7,CPI,FOOD,IDX2015,Jan-2022,111.6367,
1248,G-7,CPI,FOOD,IDX2015,Feb-2022,112.9248,
1249,G-7,CPI,FOOD,IDX2015,Mar-2022,114.2083,
1250,G-7,CPI,FOOD,IDX2015,Apr-2022,115.8385,
1251,G-7,CPI,FOOD,IDX2015,May-2022,117.3636,
1252,G-7,CPI,FOOD,IDX2015,Jun-2022,118.3468,
1253,G-7,CPI,FOOD,IDX2015,Jul-2022,119.936,
1254,G-7,CPI,FOOD,IDX2015,Aug-2022,120.9815,
1255,G-7,CPI,FOOD,IDX2015,Sep-2022,122.0262,
1256,G-7,CPI,FOOD,IDX2015,Oct-2022,123.1904,
1257,G-7,CPI,FOOD,IDX2015,Nov-2022,123.6121,
